You entered 1  with key punpckwd_0_0_0 
You entered 1  with key punpckbw_0_0_0 
You entered 1  with key punpckl_0_0_0 
You entered 1  with key punpckh_0_0_0 
You entered 1  with key packusdw_0_0_0 
You entered 1  with key packssdw_0_0_0 
You entered 1  with key packuswb_0_0_0 
You entered 1  with key packsswb_0_0_0 
You entered 2  with key packssdw_m_m_0 
You entered 2  with key packuswb_m_m_0 
You entered 2  with key packsswb_m_m_0 
You entered 0.5  with key vmovntdqa_0_0_0 
You entered 0.5  with key movntdqa_0_0_0 
You entered 1  with key vmovntdq_0_0_0 
You entered 1  with key movntdq_0_0_0 
You entered 1  with key movntq_0_0_0 
You entered 1  with key movq2dq_0_0_0 
You entered 1  with key movdq2q_0_0_0 
You entered 0.5  with key lddqu_0_0_0 
You entered 0.25  with key vmovdqu_0_0_0 
You entered 0.25  with key vmovdqa_0_0_0 
You entered 1  with key vmovdqu_m_0_0 
You entered 1  with key vmovdqa_m_0_0 
You entered 0.5  with key vmovdqu_0_m_0 
You entered 0.5  with key vmovdqa_0_m_0 
You entered 0.25  with key movdqu_0_0_0 
You entered 0.25  with key movdqa_0_0_0 
You entered 1  with key movdqu_m_0_0 
You entered 1  with key movdqa_m_0_0 
You entered 0.5  with key movdqu_0_m_0 
You entered 0.5  with key movdqa_0_m_0 
You entered 0.5  with key movq_m_m_0 
You entered 1  with key movq_0_0_0 
You entered 1  with key movd_r_m_0 
You entered 78  with key fninit_0_0_0 
You entered 22  with key fnclex_0_0_0 
You entered 1  with key wait_0_0_0 
You entered 0.5  with key fnop_0_0_0 
You entered 130  with key fpatan_0_0_0 
You entered 150  with key fptan_0_0_0 
You entered 77  with key fyl2xp1_0_0_0 
You entered 103  with key fyl2x_0_0_0 
You entered 70  with key f2xm1_0_0_0 
You entered 70  with key fsincos_0_0_0 
You entered 63  with key fcos_0_0_0 
You entered 60  with key fsin_0_0_0 
You entered 5.5  with key fsqrt_0_0_0 
You entered 11  with key fxtract_0_0_0 
You entered 130  with key fscale_0_0_0 
You entered 11  with key frndint_0_0_0 
You entered 17  with key fprem1_0_0_0 
You entered 17  with key fprem_0_0_0 
You entered 2  with key fxam_0_0_0 
You entered 1  with key ftst_0_0_0 
You entered 2  with key ficomp_0_0_0 
You entered 2  with key ficom_0_0_0 
You entered 4.5  with key fidivr_0_0_0 
You entered 4.5  with key fidiv_0_0_0 
You entered 1  with key fimul_0_0_0 
You entered 2  with key fisubr_0_0_0 
You entered 2  with key fisub_0_0_0 
You entered 2  with key fiadd_0_0_0 
You entered 1  with key fucomi_0_0_0 
You entered 1  with key fcomip_0_0_0 
You entered 1  with key fcomi_0_0_0 
You entered 1  with key fucompp_0_0_0 
You entered 1  with key fcompp_0_0_0 
You entered 1  with key fucom_0_0_0 
You entered 1  with key fcomp_0_0_0 
You entered 1  with key fcom_0_0_0 
You entered 1  with key fchs_0_0_0 
You entered 1  with key fabs_0_0_0 
You entered 4.5  with key fdivrp_0_0_0 
You entered 4.5  with key fdivp_0_0_0 
You entered 4.5  with key fdivr_0_0_0 
You entered 4.5  with key fdiv_0_0_0 
You entered 1  with key fmulp_0_0_0 
You entered 1  with key fmul_0_0_0 
You entered 1  with key fsubrp_0_0_0 
You entered 1  with key fsubp_0_0_0 
You entered 1  with key fsubr_0_0_0 
You entered 1  with key fsub_0_0_0 
You entered 1  with key faddp_0_0_0 
You entered 1  with key fadd_0_0_0 
You entered 175  with key frstor_0_0_0 
You entered 176  with key fnsave_0_0_0 
You entered 0.5  with key ffreep_0_0_0 
You entered 0.5  with key ffree_0_0_0 
